# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=2136375713
# chain_id=3
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=results_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta0,betas.1,logit_rho,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,phi.16,phi.17,phi.18,phi.19,phi.20,phi.21,phi.22,phi.23,phi.24,phi.25,phi.26,phi.27,phi.28,phi.29,phi.30,phi.31,phi.32,phi.33,phi.34,phi.35,phi.36,phi.37,phi.38,phi.39,phi.40,phi.41,phi.42,phi.43,phi.44,phi.45,phi.46,phi.47,phi.48,phi.49,phi.50,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,theta.29,theta.30,theta.31,theta.32,theta.33,theta.34,theta.35,theta.36,theta.37,theta.38,theta.39,theta.40,theta.41,theta.42,theta.43,theta.44,theta.45,theta.46,theta.47,theta.48,theta.49,theta.50,sigma,rho,convolved_re.1,convolved_re.2,convolved_re.3,convolved_re.4,convolved_re.5,convolved_re.6,convolved_re.7,convolved_re.8,convolved_re.9,convolved_re.10,convolved_re.11,convolved_re.12,convolved_re.13,convolved_re.14,convolved_re.15,convolved_re.16,convolved_re.17,convolved_re.18,convolved_re.19,convolved_re.20,convolved_re.21,convolved_re.22,convolved_re.23,convolved_re.24,convolved_re.25,convolved_re.26,convolved_re.27,convolved_re.28,convolved_re.29,convolved_re.30,convolved_re.31,convolved_re.32,convolved_re.33,convolved_re.34,convolved_re.35,convolved_re.36,convolved_re.37,convolved_re.38,convolved_re.39,convolved_re.40,convolved_re.41,convolved_re.42,convolved_re.43,convolved_re.44,convolved_re.45,convolved_re.46,convolved_re.47,convolved_re.48,convolved_re.49,convolved_re.50
-26404.1,1,0.000488281,3,7,0,190865,-0.560573,0.333234,-1.58399,-1.34548,-0.713925,-1.68972,-1.61928,1.45184,-0.0193808,-1.07369,-0.0669227,0.926486,-1.41411,1.72023,-0.26835,-0.892246,1.0924,-0.737396,1.92161,-0.103749,-0.15536,-1.16341,1.60488,-1.28225,1.95274,-0.441423,-1.59853,-1.67945,0.166939,-0.0269926,0.0123709,-0.314716,-0.0484378,1.73784,0.234114,-1.37855,0.30562,-0.859472,-0.384516,-0.557282,0.187339,1.64002,0.486304,1.07347,-1.52199,-1.08159,-0.0823889,1.48849,-1.61558,-0.743289,0.982134,-0.805505,-1.77813,0.367092,1.48018,-0.395072,-1.02354,1.16644,1.19184,0.424146,1.93999,-1.95824,1.06542,0.895492,1.2452,-0.839431,0.281046,-1.60495,-0.545874,1.16494,1.2662,-1.88663,0.826776,1.1326,1.51863,-1.07432,-1.50759,-0.75269,-0.32006,0.575572,1.42669,-1.50321,-0.10263,-1.74009,0.0944408,0.0945239,1.1895,0.281384,-1.60312,1.58387,-1.95468,1.10752,-1.3564,0.422918,1.15694,-1.93451,1.14798,-1.10632,-1.0761,-1.61353,1.30957,-1.61006,0.953203,3.02248,0.170231,-0.058147,1.14004,-0.852846,-1.40478,1.48609,1.08001,0.0731175,1.74764,-1.51349,0.55795,1.31759,1.05599,-1.02496,0.574711,-1.67711,0.0633759,1.03089,1.10807,-2.05798,1.22134,0.657614,1.95305,-1.1074,-1.83966,-1.17561,-0.242844,0.516423,1.3032,-1.46112,-0.107619,-1.07807,0.15433,-0.316082,1.1727,0.00557004,-1.57249,1.28019,-1.7259,1.48733,-1.09369,0.698424,0.609838,-2.07773,1.02168,-0.573507,-1.45158,-1.68664,1.47944,-1.70163,0.349527
-26404.1,0,14.3855,0,1,1,26456.3,-0.560573,0.333234,-1.58399,-1.34548,-0.713925,-1.68972,-1.61928,1.45184,-0.0193808,-1.07369,-0.0669227,0.926486,-1.41411,1.72023,-0.26835,-0.892246,1.0924,-0.737396,1.92161,-0.103749,-0.15536,-1.16341,1.60488,-1.28225,1.95274,-0.441423,-1.59853,-1.67945,0.166939,-0.0269926,0.0123709,-0.314716,-0.0484378,1.73784,0.234114,-1.37855,0.30562,-0.859472,-0.384516,-0.557282,0.187339,1.64002,0.486304,1.07347,-1.52199,-1.08159,-0.0823889,1.48849,-1.61558,-0.743289,0.982134,-0.805505,-1.77813,0.367092,1.48018,-0.395072,-1.02354,1.16644,1.19184,0.424146,1.93999,-1.95824,1.06542,0.895492,1.2452,-0.839431,0.281046,-1.60495,-0.545874,1.16494,1.2662,-1.88663,0.826776,1.1326,1.51863,-1.07432,-1.50759,-0.75269,-0.32006,0.575572,1.42669,-1.50321,-0.10263,-1.74009,0.0944408,0.0945239,1.1895,0.281384,-1.60312,1.58387,-1.95468,1.10752,-1.3564,0.422918,1.15694,-1.93451,1.14798,-1.10632,-1.0761,-1.61353,1.30957,-1.61006,0.953203,3.02248,0.170231,-0.058147,1.14004,-0.852846,-1.40478,1.48609,1.08001,0.0731175,1.74764,-1.51349,0.55795,1.31759,1.05599,-1.02496,0.574711,-1.67711,0.0633759,1.03089,1.10807,-2.05798,1.22134,0.657614,1.95305,-1.1074,-1.83966,-1.17561,-0.242844,0.516423,1.3032,-1.46112,-0.107619,-1.07807,0.15433,-0.316082,1.1727,0.00557004,-1.57249,1.28019,-1.7259,1.48733,-1.09369,0.698424,0.609838,-2.07773,1.02168,-0.573507,-1.45158,-1.68664,1.47944,-1.70163,0.349527
-26404.1,0,2.43117,0,1,1,26450.9,-0.560573,0.333234,-1.58399,-1.34548,-0.713925,-1.68972,-1.61928,1.45184,-0.0193808,-1.07369,-0.0669227,0.926486,-1.41411,1.72023,-0.26835,-0.892246,1.0924,-0.737396,1.92161,-0.103749,-0.15536,-1.16341,1.60488,-1.28225,1.95274,-0.441423,-1.59853,-1.67945,0.166939,-0.0269926,0.0123709,-0.314716,-0.0484378,1.73784,0.234114,-1.37855,0.30562,-0.859472,-0.384516,-0.557282,0.187339,1.64002,0.486304,1.07347,-1.52199,-1.08159,-0.0823889,1.48849,-1.61558,-0.743289,0.982134,-0.805505,-1.77813,0.367092,1.48018,-0.395072,-1.02354,1.16644,1.19184,0.424146,1.93999,-1.95824,1.06542,0.895492,1.2452,-0.839431,0.281046,-1.60495,-0.545874,1.16494,1.2662,-1.88663,0.826776,1.1326,1.51863,-1.07432,-1.50759,-0.75269,-0.32006,0.575572,1.42669,-1.50321,-0.10263,-1.74009,0.0944408,0.0945239,1.1895,0.281384,-1.60312,1.58387,-1.95468,1.10752,-1.3564,0.422918,1.15694,-1.93451,1.14798,-1.10632,-1.0761,-1.61353,1.30957,-1.61006,0.953203,3.02248,0.170231,-0.058147,1.14004,-0.852846,-1.40478,1.48609,1.08001,0.0731175,1.74764,-1.51349,0.55795,1.31759,1.05599,-1.02496,0.574711,-1.67711,0.0633759,1.03089,1.10807,-2.05798,1.22134,0.657614,1.95305,-1.1074,-1.83966,-1.17561,-0.242844,0.516423,1.3032,-1.46112,-0.107619,-1.07807,0.15433,-0.316082,1.1727,0.00557004,-1.57249,1.28019,-1.7259,1.48733,-1.09369,0.698424,0.609838,-2.07773,1.02168,-0.573507,-1.45158,-1.68664,1.47944,-1.70163,0.349527
-26404.1,0,0.239791,0,1,1,26449.9,-0.560573,0.333234,-1.58399,-1.34548,-0.713925,-1.68972,-1.61928,1.45184,-0.0193808,-1.07369,-0.0669227,0.926486,-1.41411,1.72023,-0.26835,-0.892246,1.0924,-0.737396,1.92161,-0.103749,-0.15536,-1.16341,1.60488,-1.28225,1.95274,-0.441423,-1.59853,-1.67945,0.166939,-0.0269926,0.0123709,-0.314716,-0.0484378,1.73784,0.234114,-1.37855,0.30562,-0.859472,-0.384516,-0.557282,0.187339,1.64002,0.486304,1.07347,-1.52199,-1.08159,-0.0823889,1.48849,-1.61558,-0.743289,0.982134,-0.805505,-1.77813,0.367092,1.48018,-0.395072,-1.02354,1.16644,1.19184,0.424146,1.93999,-1.95824,1.06542,0.895492,1.2452,-0.839431,0.281046,-1.60495,-0.545874,1.16494,1.2662,-1.88663,0.826776,1.1326,1.51863,-1.07432,-1.50759,-0.75269,-0.32006,0.575572,1.42669,-1.50321,-0.10263,-1.74009,0.0944408,0.0945239,1.1895,0.281384,-1.60312,1.58387,-1.95468,1.10752,-1.3564,0.422918,1.15694,-1.93451,1.14798,-1.10632,-1.0761,-1.61353,1.30957,-1.61006,0.953203,3.02248,0.170231,-0.058147,1.14004,-0.852846,-1.40478,1.48609,1.08001,0.0731175,1.74764,-1.51349,0.55795,1.31759,1.05599,-1.02496,0.574711,-1.67711,0.0633759,1.03089,1.10807,-2.05798,1.22134,0.657614,1.95305,-1.1074,-1.83966,-1.17561,-0.242844,0.516423,1.3032,-1.46112,-0.107619,-1.07807,0.15433,-0.316082,1.1727,0.00557004,-1.57249,1.28019,-1.7259,1.48733,-1.09369,0.698424,0.609838,-2.07773,1.02168,-0.573507,-1.45158,-1.68664,1.47944,-1.70163,0.349527
-26404.1,0,0.0186273,0,1,1,26455.6,-0.560573,0.333234,-1.58399,-1.34548,-0.713925,-1.68972,-1.61928,1.45184,-0.0193808,-1.07369,-0.0669227,0.926486,-1.41411,1.72023,-0.26835,-0.892246,1.0924,-0.737396,1.92161,-0.103749,-0.15536,-1.16341,1.60488,-1.28225,1.95274,-0.441423,-1.59853,-1.67945,0.166939,-0.0269926,0.0123709,-0.314716,-0.0484378,1.73784,0.234114,-1.37855,0.30562,-0.859472,-0.384516,-0.557282,0.187339,1.64002,0.486304,1.07347,-1.52199,-1.08159,-0.0823889,1.48849,-1.61558,-0.743289,0.982134,-0.805505,-1.77813,0.367092,1.48018,-0.395072,-1.02354,1.16644,1.19184,0.424146,1.93999,-1.95824,1.06542,0.895492,1.2452,-0.839431,0.281046,-1.60495,-0.545874,1.16494,1.2662,-1.88663,0.826776,1.1326,1.51863,-1.07432,-1.50759,-0.75269,-0.32006,0.575572,1.42669,-1.50321,-0.10263,-1.74009,0.0944408,0.0945239,1.1895,0.281384,-1.60312,1.58387,-1.95468,1.10752,-1.3564,0.422918,1.15694,-1.93451,1.14798,-1.10632,-1.0761,-1.61353,1.30957,-1.61006,0.953203,3.02248,0.170231,-0.058147,1.14004,-0.852846,-1.40478,1.48609,1.08001,0.0731175,1.74764,-1.51349,0.55795,1.31759,1.05599,-1.02496,0.574711,-1.67711,0.0633759,1.03089,1.10807,-2.05798,1.22134,0.657614,1.95305,-1.1074,-1.83966,-1.17561,-0.242844,0.516423,1.3032,-1.46112,-0.107619,-1.07807,0.15433,-0.316082,1.1727,0.00557004,-1.57249,1.28019,-1.7259,1.48733,-1.09369,0.698424,0.609838,-2.07773,1.02168,-0.573507,-1.45158,-1.68664,1.47944,-1.70163,0.349527
-18202,1,0.00130482,2,3,0,24377,-0.570784,0.244018,-1.5854,-1.3412,-0.712206,-1.68789,-1.61772,1.45323,-0.0165116,-1.07125,-0.0636735,0.929144,-1.41262,1.72155,-0.265727,-0.887839,1.09709,-0.73355,1.92528,-0.101638,-0.154235,-1.15905,1.60946,-1.27986,1.95486,-0.440607,-1.59547,-1.6757,0.170978,-0.0234219,0.0163708,-0.314651,-0.0439671,1.73986,0.237126,-1.37498,0.308111,-0.857751,-0.380601,-0.55284,0.188144,1.64109,0.48852,1.07789,-1.52033,-1.08079,-0.0779649,1.49234,-1.61199,-0.740131,0.984885,-0.803322,-1.77438,0.368779,1.48184,-0.395767,-1.02364,1.16286,1.19206,0.425874,1.93792,-1.95679,1.0643,0.896806,1.24625,-0.839002,0.279356,-1.6041,-0.545691,1.16337,1.26555,-1.88527,0.825937,1.13438,1.50728,-1.07295,-1.50742,-0.751177,-0.321187,0.57726,1.42603,-1.49997,-0.100187,-1.73814,0.0950411,0.0947633,1.18942,0.280275,-1.60191,1.58322,-1.95391,1.10401,-1.35552,0.425853,1.15582,-1.93217,1.14683,-1.10606,-1.07676,-1.61484,1.31093,-1.61179,0.951356,2.8777,0.170032,-0.0550922,1.14234,-0.852701,-1.40425,1.48312,1.08118,0.0756312,1.74693,-1.51177,0.557718,1.31897,1.05788,-1.02322,0.574383,-1.67526,0.0642234,1.03022,1.10797,-2.05548,1.22173,0.660274,1.94316,-1.10595,-1.8385,-1.17293,-0.242757,0.519069,1.30393,-1.45826,-0.104093,-1.07619,0.155725,-0.314577,1.17343,0.00523859,-1.57036,1.28116,-1.7252,1.48428,-1.09247,0.70225,0.609693,-2.07539,1.02206,-0.57252,-1.45097,-1.68697,1.48146,-1.70261,0.349344
-15082.9,1,0.00189104,2,3,0,17721.2,-0.577437,0.179295,-1.58514,-1.33617,-0.703462,-1.68081,-1.61226,1.46064,-0.00823336,-1.06664,-0.060583,0.937745,-1.40848,1.72883,-0.261415,-0.88408,1.10307,-0.729912,1.93285,-0.0938672,-0.148826,-1.15525,1.6159,-1.27731,1.95807,-0.436194,-1.58993,-1.66761,0.173848,-0.0163088,0.0220799,-0.312622,-0.0385778,1.74836,0.243754,-1.36923,0.312411,-0.851649,-0.372321,-0.547306,0.192947,1.6467,0.496478,1.0854,-1.51315,-1.07511,-0.0717269,1.49884,-1.60374,-0.736945,0.99142,-0.799046,-1.7703,0.370669,1.48125,-0.395704,-1.0215,1.15909,1.19263,0.424107,1.93518,-1.9567,1.06338,0.894801,1.24275,-0.841325,0.28041,-1.60487,-0.547492,1.15919,1.26382,-1.88176,0.824887,1.13272,1.50105,-1.06948,-1.5111,-0.752143,-0.32016,0.574893,1.42551,-1.49771,-0.100502,-1.73982,0.0966707,0.0930435,1.1905,0.279318,-1.60326,1.58411,-1.95448,1.10149,-1.35693,0.425052,1.15452,-1.9321,1.14783,-1.10869,-1.07977,-1.61537,1.30755,-1.61029,0.951572,2.78118,0.170069,-0.0519559,1.14429,-0.850625,-1.40073,1.48187,1.08409,0.0753243,1.7453,-1.50911,0.558019,1.31931,1.05592,-1.02426,0.577119,-1.67489,0.0648647,1.02865,1.10795,-2.05117,1.22268,0.659441,1.93845,-1.1015,-1.84026,-1.17149,-0.240972,0.518975,1.30509,-1.45559,-0.102808,-1.07516,0.159148,-0.314515,1.17565,0.00611414,-1.56915,1.28354,-1.72427,1.48366,-1.09139,0.703734,0.610529,-2.07366,1.02476,-0.572948,-1.45134,-1.68651,1.48029,-1.69999,0.350656
-671.974,1,0.00305706,3,7,0,14351,-0.642525,-0.365316,-1.5705,-1.15855,-0.490895,-1.48966,-1.4212,1.63501,0.178051,-0.868962,0.112297,1.11914,-1.2223,1.90734,-0.0829194,-0.698528,1.28175,-0.521452,2.12612,0.0882481,0.0475978,-0.971297,1.80636,-1.09843,2.13053,-0.233355,-1.40405,-1.48615,0.371127,0.170656,0.206397,-0.116745,0.157305,1.94166,0.451796,-1.16423,0.494836,-0.691993,-0.184347,-0.364441,0.384504,1.82337,0.67119,1.26177,-1.32196,-0.892885,0.115448,1.69667,-1.39591,-0.546767,1.1728,-0.602264,-1.56553,0.370158,1.47825,-0.393833,-1.01139,1.13244,1.18834,0.441803,1.92421,-1.95508,1.05485,0.876764,1.24635,-0.871439,0.263956,-1.59591,-0.549348,1.1461,1.24904,-1.90644,0.820029,1.12681,1.42361,-1.09176,-1.50672,-0.743034,-0.319149,0.564586,1.40284,-1.48505,-0.105065,-1.74641,0.0868382,0.0931563,1.19082,0.273859,-1.62332,1.57073,-1.96191,1.08346,-1.36329,0.426917,1.15333,-1.96085,1.13232,-1.09862,-1.05852,-1.62946,1.29926,-1.62684,0.944474,2.11899,0.172144,-0.00310111,1.20099,-0.795373,-1.33719,1.51005,1.13346,0.147044,1.78372,-1.45053,0.601177,1.35731,1.10968,-0.997827,0.616205,-1.60505,0.123928,1.06869,1.15042,-2.01956,1.27607,0.702993,1.92035,-1.06181,-1.78283,-1.11207,-0.181501,0.563764,1.33695,-1.38545,-0.0494444,-1.01935,0.211559,-0.256804,1.22867,0.0461573,-1.53108,1.32223,-1.67227,1.52074,-1.0435,0.758615,0.661542,-2.04607,1.06413,-0.501824,-1.37264,-1.643,1.52623,-1.65689,0.400048
-108.961,0.994516,0.00530085,7,127,0,660.691,-0.59767,0.224022,-1.51774,-0.983394,-0.5465,-1.53143,-1.1267,1.2576,0.606587,-0.797049,-0.526441,1.72175,-1.25654,1.89113,-0.662392,-0.533931,1.05712,-0.243317,2.16258,0.904954,-0.00418028,-1.05464,1.89257,-1.37481,2.08926,0.158872,-1.43866,-1.77492,0.91903,0.131713,0.111984,-0.236806,0.0500176,2.41886,0.379194,-1.39256,0.0702653,-1.27713,-0.383344,-0.254343,0.735344,1.67325,0.105254,1.09209,-1.51835,-1.88519,-0.260006,1.80582,-1.07809,-0.114441,1.08302,-0.544325,-1.6834,-0.138797,0.665545,-0.100969,-0.619703,0.52175,1.47951,0.232167,1.1732,-2.02481,1.44551,-0.0441778,1.56752,-0.846259,0.203897,-1.62219,-0.0517786,1.05078,0.807348,-1.43602,0.115194,1.3202,1.6647,-0.972444,-1.50997,-0.561961,-0.527069,0.7122,1.75492,-0.826957,-0.331205,-0.969561,-0.112777,0.102569,1.03549,0.197476,-1.67291,1.40063,-1.87188,0.264902,-2.03829,0.00719347,1.18376,-2.1125,0.803953,-0.522999,-0.42019,-0.942959,0.433932,-0.708733,1.05902,0.00190369,0.179795,-0.420552,0.438896,-0.550609,-0.899052,0.84959,1.52179,-0.0287159,0.904665,-1.31754,0.932377,0.527005,1.22103,-0.926504,0.501614,-1.54209,0.601513,1.22297,0.729923,-1.61675,0.671773,0.783428,2.13406,-0.833061,-1.79886,-1.04111,-0.201789,0.684497,1.62292,-0.819936,-0.284959,-0.15284,0.0115563,-0.324639,0.958864,-0.204075,-1.63001,1.19222,-1.4748,0.741597,-1.81442,0.333956,0.616831,-2.47843,0.650144,0.0677811,-0.703788,-0.888306,0.717712,-0.805069,0.454366
-96.0613,0.999819,0.00944658,10,1023,0,153.509,1.24522,-0.0377507,1.33899,0.243432,-7.1408,-2.71153,7.78419,-4.95564,-4.85271,1.78038,5.13751,3.922,1.49332,1.74813,-3.48388,-2.8967,3.28487,1.79893,3.19206,-0.0492951,-2.6526,0.276988,1.15484,1.47814,3.54998,2.53817,0.861802,-0.0960293,4.99802,-0.0163757,-0.163452,-5.21595,-3.30677,1.92593,0.0288393,-5.58676,4.25831,-5.00936,-2.26091,-0.127456,-1.454,-0.644949,1.83841,3.85212,-4.70013,3.17107,-3.11248,-1.6195,1.82979,1.36914,1.58844,-0.0436335,-3.11394,-0.764892,-1.03705,-1.51576,0.765114,-0.209834,0.946237,0.573149,-1.2772,0.973939,-2.76002,0.0556015,-0.137356,-0.115148,-0.362934,0.518808,0.507503,-0.397676,-0.832021,1.34297,-0.594279,-1.39608,-1.44514,0.521002,0.319127,0.611891,1.40708,-0.950011,-2.24618,1.10352,0.604758,1.65474,-0.279247,0.40869,-0.728876,-1.93413,0.6241,-1.1174,2.05193,-1.13066,1.34632,-0.930018,-2.56754,0.501089,-0.940088,-0.0280999,0.963254,0.146576,-1.05561,0.402344,-1.33643,0.00726371,0.792325,-0.195353,-4.96712,-2.39743,5.24815,-3.21478,-2.62315,1.38179,2.65159,2.9124,-0.31786,1.12564,-2.2554,-1.8757,1.90215,1.3687,2.24041,-0.212253,-2.04874,0.786352,0.456053,0.294148,1.57584,1.83499,0.687861,0.218405,3.78705,-0.443241,-1.12649,-2.7801,-1.80573,1.9663,-0.109105,-3.33014,2.34808,-4.03437,-1.13864,-0.589437,0.0199255,-0.921196,1.77066,2.00075,-4.1284,2.22427,-2.38745,-1.03214,1.59066,0.92855,0.51873,0.15589,-2.56899
