# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=19
# stan_version_patch=1
# init=random
# enable_random_init=0
# seed=2136375713
# chain_id=1
# iter=1000
# warmup=500
# save_warmup=1
# thin=1
# refresh=100
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=results_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta0,betas.1,logit_rho,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,phi.16,phi.17,phi.18,phi.19,phi.20,phi.21,phi.22,phi.23,phi.24,phi.25,phi.26,phi.27,phi.28,phi.29,phi.30,phi.31,phi.32,phi.33,phi.34,phi.35,phi.36,phi.37,phi.38,phi.39,phi.40,phi.41,phi.42,phi.43,phi.44,phi.45,phi.46,phi.47,phi.48,phi.49,phi.50,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta.11,theta.12,theta.13,theta.14,theta.15,theta.16,theta.17,theta.18,theta.19,theta.20,theta.21,theta.22,theta.23,theta.24,theta.25,theta.26,theta.27,theta.28,theta.29,theta.30,theta.31,theta.32,theta.33,theta.34,theta.35,theta.36,theta.37,theta.38,theta.39,theta.40,theta.41,theta.42,theta.43,theta.44,theta.45,theta.46,theta.47,theta.48,theta.49,theta.50,sigma,rho,convolved_re.1,convolved_re.2,convolved_re.3,convolved_re.4,convolved_re.5,convolved_re.6,convolved_re.7,convolved_re.8,convolved_re.9,convolved_re.10,convolved_re.11,convolved_re.12,convolved_re.13,convolved_re.14,convolved_re.15,convolved_re.16,convolved_re.17,convolved_re.18,convolved_re.19,convolved_re.20,convolved_re.21,convolved_re.22,convolved_re.23,convolved_re.24,convolved_re.25,convolved_re.26,convolved_re.27,convolved_re.28,convolved_re.29,convolved_re.30,convolved_re.31,convolved_re.32,convolved_re.33,convolved_re.34,convolved_re.35,convolved_re.36,convolved_re.37,convolved_re.38,convolved_re.39,convolved_re.40,convolved_re.41,convolved_re.42,convolved_re.43,convolved_re.44,convolved_re.45,convolved_re.46,convolved_re.47,convolved_re.48,convolved_re.49,convolved_re.50
-2.22636e+07,1,1.52588e-05,1,1,0,1.5271e+08,-0.63783,1.56661,1.69028,-0.848588,0.291633,0.275132,-1.70792,-0.0323873,-0.0273454,-0.471397,-1.57249,-0.130986,-1.73346,1.91142,1.61325,-1.58919,-1.79264,-1.95094,0.285072,0.567152,1.30469,-0.565621,-1.81583,-1.29256,0.129847,0.330214,1.88762,-0.969664,0.526871,0.161703,0.792517,-0.917238,0.404434,0.426619,-1.10778,-0.816419,-0.663885,1.46557,0.647259,0.944463,-1.43706,-0.601833,0.148437,1.8799,1.46125,-0.978401,-1.02323,-0.952433,0.0855802,-1.51158,0.965755,-0.813342,0.921152,0.860416,0.690428,-1.79473,1.40586,1.99423,1.5123,-1.46823,0.564103,-0.228645,-1.16414,-0.928808,0.774066,0.88721,1.47343,-0.313559,0.539055,0.0688077,0.589363,0.532562,-0.964148,1.49864,0.959598,1.19594,0.874723,-0.971802,1.297,-1.6801,-1.80628,0.220587,0.343779,-0.914532,-0.153346,-0.158737,0.774099,-0.775507,0.930127,-0.767946,0.616651,-0.176924,0.784865,-1.34853,-0.268137,1.13235,0.270182,-1.88765,-1.50514,1.73869,-0.45894,1.35279,-0.410591,0.151606,0.844261,-0.211788,0.461948,-0.529509,-0.554857,0.765958,0.579046,-0.885692,-0.799058,-0.175336,-1.58567,0.875335,1.35363,-0.682395,-0.583237,-1.3913,0.397948,0.395642,1.08026,-0.157324,-1.56026,-0.248379,0.463057,0.68651,1.57162,-1.01352,0.854163,-0.557971,-0.197916,-0.508892,0.398435,-0.0837279,-0.780258,-0.593084,-0.125848,0.646161,0.787597,0.310572,-0.690329,-0.460842,0.40618,0.689215,0.843578,-0.188816,-0.558183,-1.36375,-0.538383,-0.295944,0.446351,0.0054211,0.436452
-2.22636e+07,0,14.3855,0,1,1,2.22636e+07,-0.63783,1.56661,1.69028,-0.848588,0.291633,0.275132,-1.70792,-0.0323873,-0.0273454,-0.471397,-1.57249,-0.130986,-1.73346,1.91142,1.61325,-1.58919,-1.79264,-1.95094,0.285072,0.567152,1.30469,-0.565621,-1.81583,-1.29256,0.129847,0.330214,1.88762,-0.969664,0.526871,0.161703,0.792517,-0.917238,0.404434,0.426619,-1.10778,-0.816419,-0.663885,1.46557,0.647259,0.944463,-1.43706,-0.601833,0.148437,1.8799,1.46125,-0.978401,-1.02323,-0.952433,0.0855802,-1.51158,0.965755,-0.813342,0.921152,0.860416,0.690428,-1.79473,1.40586,1.99423,1.5123,-1.46823,0.564103,-0.228645,-1.16414,-0.928808,0.774066,0.88721,1.47343,-0.313559,0.539055,0.0688077,0.589363,0.532562,-0.964148,1.49864,0.959598,1.19594,0.874723,-0.971802,1.297,-1.6801,-1.80628,0.220587,0.343779,-0.914532,-0.153346,-0.158737,0.774099,-0.775507,0.930127,-0.767946,0.616651,-0.176924,0.784865,-1.34853,-0.268137,1.13235,0.270182,-1.88765,-1.50514,1.73869,-0.45894,1.35279,-0.410591,0.151606,0.844261,-0.211788,0.461948,-0.529509,-0.554857,0.765958,0.579046,-0.885692,-0.799058,-0.175336,-1.58567,0.875335,1.35363,-0.682395,-0.583237,-1.3913,0.397948,0.395642,1.08026,-0.157324,-1.56026,-0.248379,0.463057,0.68651,1.57162,-1.01352,0.854163,-0.557971,-0.197916,-0.508892,0.398435,-0.0837279,-0.780258,-0.593084,-0.125848,0.646161,0.787597,0.310572,-0.690329,-0.460842,0.40618,0.689215,0.843578,-0.188816,-0.558183,-1.36375,-0.538383,-0.295944,0.446351,0.0054211,0.436452
-2.22636e+07,0,2.43117,0,1,1,2.22636e+07,-0.63783,1.56661,1.69028,-0.848588,0.291633,0.275132,-1.70792,-0.0323873,-0.0273454,-0.471397,-1.57249,-0.130986,-1.73346,1.91142,1.61325,-1.58919,-1.79264,-1.95094,0.285072,0.567152,1.30469,-0.565621,-1.81583,-1.29256,0.129847,0.330214,1.88762,-0.969664,0.526871,0.161703,0.792517,-0.917238,0.404434,0.426619,-1.10778,-0.816419,-0.663885,1.46557,0.647259,0.944463,-1.43706,-0.601833,0.148437,1.8799,1.46125,-0.978401,-1.02323,-0.952433,0.0855802,-1.51158,0.965755,-0.813342,0.921152,0.860416,0.690428,-1.79473,1.40586,1.99423,1.5123,-1.46823,0.564103,-0.228645,-1.16414,-0.928808,0.774066,0.88721,1.47343,-0.313559,0.539055,0.0688077,0.589363,0.532562,-0.964148,1.49864,0.959598,1.19594,0.874723,-0.971802,1.297,-1.6801,-1.80628,0.220587,0.343779,-0.914532,-0.153346,-0.158737,0.774099,-0.775507,0.930127,-0.767946,0.616651,-0.176924,0.784865,-1.34853,-0.268137,1.13235,0.270182,-1.88765,-1.50514,1.73869,-0.45894,1.35279,-0.410591,0.151606,0.844261,-0.211788,0.461948,-0.529509,-0.554857,0.765958,0.579046,-0.885692,-0.799058,-0.175336,-1.58567,0.875335,1.35363,-0.682395,-0.583237,-1.3913,0.397948,0.395642,1.08026,-0.157324,-1.56026,-0.248379,0.463057,0.68651,1.57162,-1.01352,0.854163,-0.557971,-0.197916,-0.508892,0.398435,-0.0837279,-0.780258,-0.593084,-0.125848,0.646161,0.787597,0.310572,-0.690329,-0.460842,0.40618,0.689215,0.843578,-0.188816,-0.558183,-1.36375,-0.538383,-0.295944,0.446351,0.0054211,0.436452
-2.22636e+07,0,0.239791,0,1,1,2.22636e+07,-0.63783,1.56661,1.69028,-0.848588,0.291633,0.275132,-1.70792,-0.0323873,-0.0273454,-0.471397,-1.57249,-0.130986,-1.73346,1.91142,1.61325,-1.58919,-1.79264,-1.95094,0.285072,0.567152,1.30469,-0.565621,-1.81583,-1.29256,0.129847,0.330214,1.88762,-0.969664,0.526871,0.161703,0.792517,-0.917238,0.404434,0.426619,-1.10778,-0.816419,-0.663885,1.46557,0.647259,0.944463,-1.43706,-0.601833,0.148437,1.8799,1.46125,-0.978401,-1.02323,-0.952433,0.0855802,-1.51158,0.965755,-0.813342,0.921152,0.860416,0.690428,-1.79473,1.40586,1.99423,1.5123,-1.46823,0.564103,-0.228645,-1.16414,-0.928808,0.774066,0.88721,1.47343,-0.313559,0.539055,0.0688077,0.589363,0.532562,-0.964148,1.49864,0.959598,1.19594,0.874723,-0.971802,1.297,-1.6801,-1.80628,0.220587,0.343779,-0.914532,-0.153346,-0.158737,0.774099,-0.775507,0.930127,-0.767946,0.616651,-0.176924,0.784865,-1.34853,-0.268137,1.13235,0.270182,-1.88765,-1.50514,1.73869,-0.45894,1.35279,-0.410591,0.151606,0.844261,-0.211788,0.461948,-0.529509,-0.554857,0.765958,0.579046,-0.885692,-0.799058,-0.175336,-1.58567,0.875335,1.35363,-0.682395,-0.583237,-1.3913,0.397948,0.395642,1.08026,-0.157324,-1.56026,-0.248379,0.463057,0.68651,1.57162,-1.01352,0.854163,-0.557971,-0.197916,-0.508892,0.398435,-0.0837279,-0.780258,-0.593084,-0.125848,0.646161,0.787597,0.310572,-0.690329,-0.460842,0.40618,0.689215,0.843578,-0.188816,-0.558183,-1.36375,-0.538383,-0.295944,0.446351,0.0054211,0.436452
-2.22636e+07,0,0.0186273,0,1,1,2.22636e+07,-0.63783,1.56661,1.69028,-0.848588,0.291633,0.275132,-1.70792,-0.0323873,-0.0273454,-0.471397,-1.57249,-0.130986,-1.73346,1.91142,1.61325,-1.58919,-1.79264,-1.95094,0.285072,0.567152,1.30469,-0.565621,-1.81583,-1.29256,0.129847,0.330214,1.88762,-0.969664,0.526871,0.161703,0.792517,-0.917238,0.404434,0.426619,-1.10778,-0.816419,-0.663885,1.46557,0.647259,0.944463,-1.43706,-0.601833,0.148437,1.8799,1.46125,-0.978401,-1.02323,-0.952433,0.0855802,-1.51158,0.965755,-0.813342,0.921152,0.860416,0.690428,-1.79473,1.40586,1.99423,1.5123,-1.46823,0.564103,-0.228645,-1.16414,-0.928808,0.774066,0.88721,1.47343,-0.313559,0.539055,0.0688077,0.589363,0.532562,-0.964148,1.49864,0.959598,1.19594,0.874723,-0.971802,1.297,-1.6801,-1.80628,0.220587,0.343779,-0.914532,-0.153346,-0.158737,0.774099,-0.775507,0.930127,-0.767946,0.616651,-0.176924,0.784865,-1.34853,-0.268137,1.13235,0.270182,-1.88765,-1.50514,1.73869,-0.45894,1.35279,-0.410591,0.151606,0.844261,-0.211788,0.461948,-0.529509,-0.554857,0.765958,0.579046,-0.885692,-0.799058,-0.175336,-1.58567,0.875335,1.35363,-0.682395,-0.583237,-1.3913,0.397948,0.395642,1.08026,-0.157324,-1.56026,-0.248379,0.463057,0.68651,1.57162,-1.01352,0.854163,-0.557971,-0.197916,-0.508892,0.398435,-0.0837279,-0.780258,-0.593084,-0.125848,0.646161,0.787597,0.310572,-0.690329,-0.460842,0.40618,0.689215,0.843578,-0.188816,-0.558183,-1.36375,-0.538383,-0.295944,0.446351,0.0054211,0.436452
-2.22636e+07,0,0.00130482,0,1,1,2.22636e+07,-0.63783,1.56661,1.69028,-0.848588,0.291633,0.275132,-1.70792,-0.0323873,-0.0273454,-0.471397,-1.57249,-0.130986,-1.73346,1.91142,1.61325,-1.58919,-1.79264,-1.95094,0.285072,0.567152,1.30469,-0.565621,-1.81583,-1.29256,0.129847,0.330214,1.88762,-0.969664,0.526871,0.161703,0.792517,-0.917238,0.404434,0.426619,-1.10778,-0.816419,-0.663885,1.46557,0.647259,0.944463,-1.43706,-0.601833,0.148437,1.8799,1.46125,-0.978401,-1.02323,-0.952433,0.0855802,-1.51158,0.965755,-0.813342,0.921152,0.860416,0.690428,-1.79473,1.40586,1.99423,1.5123,-1.46823,0.564103,-0.228645,-1.16414,-0.928808,0.774066,0.88721,1.47343,-0.313559,0.539055,0.0688077,0.589363,0.532562,-0.964148,1.49864,0.959598,1.19594,0.874723,-0.971802,1.297,-1.6801,-1.80628,0.220587,0.343779,-0.914532,-0.153346,-0.158737,0.774099,-0.775507,0.930127,-0.767946,0.616651,-0.176924,0.784865,-1.34853,-0.268137,1.13235,0.270182,-1.88765,-1.50514,1.73869,-0.45894,1.35279,-0.410591,0.151606,0.844261,-0.211788,0.461948,-0.529509,-0.554857,0.765958,0.579046,-0.885692,-0.799058,-0.175336,-1.58567,0.875335,1.35363,-0.682395,-0.583237,-1.3913,0.397948,0.395642,1.08026,-0.157324,-1.56026,-0.248379,0.463057,0.68651,1.57162,-1.01352,0.854163,-0.557971,-0.197916,-0.508892,0.398435,-0.0837279,-0.780258,-0.593084,-0.125848,0.646161,0.787597,0.310572,-0.690329,-0.460842,0.40618,0.689215,0.843578,-0.188816,-0.558183,-1.36375,-0.538383,-0.295944,0.446351,0.0054211,0.436452
-2.22636e+07,0,8.85015e-05,0,1,1,2.22636e+07,-0.63783,1.56661,1.69028,-0.848588,0.291633,0.275132,-1.70792,-0.0323873,-0.0273454,-0.471397,-1.57249,-0.130986,-1.73346,1.91142,1.61325,-1.58919,-1.79264,-1.95094,0.285072,0.567152,1.30469,-0.565621,-1.81583,-1.29256,0.129847,0.330214,1.88762,-0.969664,0.526871,0.161703,0.792517,-0.917238,0.404434,0.426619,-1.10778,-0.816419,-0.663885,1.46557,0.647259,0.944463,-1.43706,-0.601833,0.148437,1.8799,1.46125,-0.978401,-1.02323,-0.952433,0.0855802,-1.51158,0.965755,-0.813342,0.921152,0.860416,0.690428,-1.79473,1.40586,1.99423,1.5123,-1.46823,0.564103,-0.228645,-1.16414,-0.928808,0.774066,0.88721,1.47343,-0.313559,0.539055,0.0688077,0.589363,0.532562,-0.964148,1.49864,0.959598,1.19594,0.874723,-0.971802,1.297,-1.6801,-1.80628,0.220587,0.343779,-0.914532,-0.153346,-0.158737,0.774099,-0.775507,0.930127,-0.767946,0.616651,-0.176924,0.784865,-1.34853,-0.268137,1.13235,0.270182,-1.88765,-1.50514,1.73869,-0.45894,1.35279,-0.410591,0.151606,0.844261,-0.211788,0.461948,-0.529509,-0.554857,0.765958,0.579046,-0.885692,-0.799058,-0.175336,-1.58567,0.875335,1.35363,-0.682395,-0.583237,-1.3913,0.397948,0.395642,1.08026,-0.157324,-1.56026,-0.248379,0.463057,0.68651,1.57162,-1.01352,0.854163,-0.557971,-0.197916,-0.508892,0.398435,-0.0837279,-0.780258,-0.593084,-0.125848,0.646161,0.787597,0.310572,-0.690329,-0.460842,0.40618,0.689215,0.843578,-0.188816,-0.558183,-1.36375,-0.538383,-0.295944,0.446351,0.0054211,0.436452
-9.64494e+06,1,6.04912e-06,7,127,0,2.21356e+07,-0.64671,1.48063,1.69026,-0.84859,0.291594,0.275161,-1.70797,-0.0326062,-0.0273519,-0.471419,-1.57247,-0.130979,-1.7335,1.91145,1.61327,-1.58917,-1.79263,-1.95094,0.285053,0.567209,1.30467,-0.565624,-1.81583,-1.29255,0.129827,0.330172,1.88758,-0.969709,0.526903,0.161733,0.792287,-0.917169,0.404357,0.426659,-1.1078,-0.816454,-0.663931,1.46559,0.64722,0.944507,-1.43703,-0.602035,0.14844,1.8799,1.46121,-0.978437,-1.02324,-0.952488,0.085576,-1.51152,0.965775,-0.813315,0.921102,0.860494,0.690451,-1.79474,1.40586,1.99414,1.51233,-1.46827,0.564146,-0.228633,-1.16414,-0.928826,0.774096,0.887199,1.47343,-0.313573,0.539088,0.0687925,0.58932,0.532674,-0.964183,1.49864,0.95949,1.19594,0.874682,-0.971773,1.29702,-1.68003,-1.80643,0.220561,0.343729,-0.914513,-0.153307,-0.158755,0.774089,-0.775469,0.930189,-0.767949,0.616687,-0.177007,0.784878,-1.34854,-0.26815,1.13238,0.270146,-1.88772,-1.50512,1.73873,-0.458971,1.35281,-0.410586,0.151587,0.844258,-0.211755,0.461934,-0.529505,-0.554883,0.765787,0.579057,-0.88573,-0.79902,-0.175327,-1.5857,0.875346,1.35366,-0.68238,-0.583223,-1.3913,0.39795,0.395672,1.08023,-0.157279,-1.56028,-0.248362,0.463005,0.686485,1.57158,-1.01354,0.854194,-0.557929,-0.198133,-0.508855,0.398367,-0.0836987,-0.780252,-0.593113,-0.125878,0.646183,0.7876,0.310595,-0.69029,-0.461005,0.406189,0.689209,0.843546,-0.188822,-0.558203,-1.36382,-0.538384,-0.295884,0.446349,0.00545463,0.436419
-9.2323e+06,1,9.87721e-06,1,1,0,9.63615e+06,-0.647166,1.47612,1.69026,-0.848606,0.291583,0.275172,-1.70797,-0.0326104,-0.0273656,-0.471419,-1.57247,-0.130965,-1.73348,1.91144,1.61328,-1.58917,-1.79265,-1.95094,0.285061,0.567205,1.30468,-0.565609,-1.81582,-1.29254,0.129822,0.330163,1.88759,-0.969701,0.526896,0.161746,0.792276,-0.917155,0.404362,0.426662,-1.10777,-0.816467,-0.663925,1.4656,0.647225,0.944487,-1.43705,-0.602027,0.148455,1.8799,1.46121,-0.978451,-1.02324,-0.952485,0.0855848,-1.51153,0.965788,-0.813308,0.921104,0.860476,0.690442,-1.79475,1.40587,1.99413,1.51231,-1.46828,0.564147,-0.228639,-1.16415,-0.928814,0.774083,0.887201,1.47342,-0.31358,0.539082,0.0687784,0.589323,0.532676,-0.964185,1.49863,0.959477,1.19593,0.874659,-0.971765,1.29701,-1.68004,-1.80644,0.220561,0.343735,-0.914519,-0.153315,-0.158759,0.77408,-0.775469,0.930189,-0.767937,0.616688,-0.177017,0.784864,-1.34853,-0.26816,1.13239,0.270147,-1.8877,-1.50513,1.73873,-0.458964,1.35282,-0.410577,0.151585,0.844258,-0.211773,0.461923,-0.529499,-0.554877,0.765779,0.579041,-0.885733,-0.799023,-0.17532,-1.58569,0.875343,1.35366,-0.68238,-0.583237,-1.39131,0.397952,0.395664,1.08024,-0.157269,-1.56027,-0.248363,0.462997,0.686476,1.57157,-1.01353,0.854185,-0.557924,-0.198143,-0.508846,0.398372,-0.0836981,-0.780238,-0.593124,-0.125878,0.646188,0.787602,0.310587,-0.690299,-0.461004,0.406193,0.689214,0.843546,-0.188828,-0.5582,-1.36381,-0.538382,-0.295887,0.446361,0.00546008,0.436424
-8.1128e+06,1,1.73734e-05,1,1,0,9.16531e+06,-0.648588,1.46279,1.69025,-0.848614,0.291604,0.275161,-1.70797,-0.0326129,-0.027374,-0.471415,-1.57248,-0.130963,-1.73348,1.91145,1.61331,-1.58917,-1.79265,-1.95094,0.285059,0.567215,1.30468,-0.565569,-1.81582,-1.29255,0.129822,0.330144,1.88761,-0.969716,0.526924,0.161743,0.792287,-0.917155,0.404353,0.426649,-1.10779,-0.816481,-0.663938,1.4656,0.647247,0.944482,-1.43701,-0.602058,0.14847,1.87993,1.4612,-0.978451,-1.02323,-0.95248,0.0855582,-1.51153,0.965805,-0.813284,0.921118,0.860502,0.690451,-1.79477,1.40588,1.99413,1.5123,-1.46828,0.564144,-0.228648,-1.16415,-0.928829,0.774075,0.887209,1.47347,-0.313574,0.539105,0.0687668,0.589335,0.532707,-0.964182,1.49863,0.959453,1.19593,0.874645,-0.971748,1.29702,-1.68003,-1.80646,0.220579,0.343716,-0.914505,-0.153296,-0.158745,0.774092,-0.775451,0.930184,-0.767951,0.616656,-0.17701,0.784855,-1.34853,-0.268151,1.13238,0.27016,-1.8877,-1.50514,1.73873,-0.458961,1.35286,-0.410552,0.151584,0.844257,-0.211765,0.461941,-0.529517,-0.554874,0.765782,0.579034,-0.885733,-0.799026,-0.175323,-1.58569,0.875339,1.35367,-0.682376,-0.583214,-1.3913,0.397961,0.395666,1.08025,-0.157229,-1.56027,-0.248365,0.462989,0.686466,1.57158,-1.01353,0.854208,-0.557926,-0.198146,-0.508838,0.398359,-0.0837033,-0.780241,-0.593127,-0.12588,0.646192,0.787616,0.310577,-0.690289,-0.461021,0.406201,0.689226,0.843541,-0.188828,-0.558193,-1.36381,-0.538405,-0.295888,0.446371,0.00549399,0.436442
